category,screen_name,created_at,text,favorite_count,retweet_count
Sports,RK_sports,2019-11-28 10:05:15,b'Would have been surprised if this was NOT the case. It had to happen \xf0\x9f\x98\x8a\xf0\x9f\x98\x8a\xf0\x9f\x91\x8f\xf0\x9f\x91\x8f. Quality all round boss. #ChummaKizhi\xe2\x80\xa6 https://t.co/19C9yVmlWw',1003,232
Sports,NFL,2019-11-28 19:58:51,b'WHAT. A. CATCH. \xf0\x9f\x98\xaf\n\nJesper Horsted hauls it in to tie this game up! @JHorsted #Bears100 \n\n\xf0\x9f\x93\xba: #CHIvsDET on FOX\n\xf0\x9f\x93\xb1: NFL\xe2\x80\xa6 https://t.co/ybqNk35snq',698,162
Sports,NFL,2019-11-28 19:44:34,"b""Darius Slay with a pick that's sweeter than pumpkin pie! @_bigplayslay23 #OnePride \n\n\xf0\x9f\x93\xba: #CHIvsDET on FOX\n\xf0\x9f\x93\xb1: NFL app\xe2\x80\xa6 https://t.co/Be7f57URgD""",1141,202
Sports,SInow,2019-11-28 00:50:04,"b""These are the best moments in sports \xe2\x9d\xa4\xef\xb8\x8f\n\nIvan hadn't seen his father in 18 months but received an amazing surprise\xe2\x80\xa6 https://t.co/ax1FraGF2a""",1452,180
Sports,GeoffBakerTIMES,2019-11-28 03:33:25,b'BREAKING: Former Carolina Hurricanes owner Karmanos says he\xe2\x80\x99d have fired coach Bill Peters \xe2\x80\x9cin a nanosecond\xe2\x80\x9d had GM\xe2\x80\xa6 https://t.co/b6XUdNYKzk',913,330
Sports,Complex,2019-11-28 04:20:42,b'Kyrie Irving speaks out after being booed at Nets-Celtics game: \xe2\x80\x9cSports entertainment matters more than someone\xe2\x80\x99s m\xe2\x80\xa6 https://t.co/vHUA3WvgsI',800,141
Sports,TheOnion,2019-11-28 00:49:05,b'Ovechkin Shanks Slapshot Into Stands After Unruly Fan Coughs During Backswing https://t.co/KuTRrbGbz5 https://t.co/6bgBvV6wCe',1066,189
Sports,TourismPHL,2019-11-28 05:50:14,b'The Department of Tourism (DOT) calls for volunteer SPORTS LIAISON OFFICERS (SLOs) for the on-going SEA Games:\n\nPle\xe2\x80\xa6 https://t.co/LmU7aO6Rdn',77,80
Sports,MrFrankBaraan,2019-11-28 04:23:17,b'THIS MAN IS OUR SENATE PRESIDENT \xe2\x80\x94 &amp; UNCLE OF VICO?\n\n#SEAGAMES should make stupidity a form of sports.\n\nIf they did\xe2\x80\xa6 https://t.co/9TS1KlYxNS',412,89
Sports,NewsdayHSsports,2019-11-28 00:20:40,"b'Brentwood boys soccer ranked No. 1 public school team in nation after perfect season, state title | @SCacc8\xe2\x80\xa6 https://t.co/Xt5bwYkPUn'",363,192
Sports,Devin_Heroux,2019-11-28 01:52:00,b'Taking back the power. \n\n@CarBombBoom13 says the allegations against Bill Peters is a wake-up call for hockey that\xe2\x80\xa6 https://t.co/fdReqUsTHT',305,85
Sports,rapplerdotcom,2019-11-28 00:10:08,"b""'Attempting to dictate how the media should report the news has no place in a democracy,' the National Union of Jou\xe2\x80\xa6 https://t.co/RqqMjC2VSV""",297,84
Sports,TSN_Sports,2019-11-28 03:00:42,"b""Two of Sauga's finest \xf0\x9f\x91\x8f https://t.co/IINWtecqrK""",1635,140
Sports,deemadigan,2019-11-28 01:09:36,"b'This is one of my son\xe2\x80\x99s teammates. They let him register, they let him play a few games and then told him, while he\xe2\x80\xa6 https://t.co/RreH5cWxTr'",290,81
Sports,rapplerdotcom,2019-11-28 00:20:57,b'\xe2\x80\x9cIt becomes ridiculously unacceptable when the officials responsible for the disaster resort to bashing media as we\xe2\x80\xa6 https://t.co/qDnw892spt',146,58
Sports,NBCSWarriors,2019-11-28 00:34:44,b'Get your popcorn ready! @StephenCurry30 will be on Warriors Pregame and Postgame Live on Friday \xf0\x9f\x8d\xbf\n\nPregame Live sta\xe2\x80\xa6 https://t.co/g9fPLwboa0',294,44
Sports,BradGalli,2019-11-28 02:40:17,"b""A recap of the night in Detroit sports:\n\n-The Lions announced they're starting third-string QB David Blough on Than\xe2\x80\xa6 https://t.co/LgaIglhcrY""",444,63
Sports,JGSchneid,2019-11-28 01:19:15,"b'11 year old boys don\xe2\x80\x99t need bouncy castles and shrimp platters. They want their friends, sports, pizza and cake! Ju\xe2\x80\xa6 https://t.co/tcISVs00PZ'",3657,71
Sports,nicksuss,2019-11-28 00:08:22,"b""I can't believe it.\n\n#OleMiss comes back from 21 point deficit, defeats Penn State in NIT Tip Off.\n\nREAD: https://t.co/B5XLT1lTqA""",239,25
Sports,yennikwok,2019-11-29 02:28:10,b'Indonesian coach team forces a gymnastics athlete to return home from SEA Games after she is accused of not being a\xe2\x80\xa6 https://t.co/Q6rPuU0AA5',396,626
Sports,NBCSAuthentic,2019-11-29 21:59:35,b'Steph will be in studio today for Warriors Pregame and Postgame Live \xf0\x9f\x98\xb2\n\nIt all starts at 4 pm on NBC Sports Bay Are\xe2\x80\xa6 https://t.co/csWBP7H7Dx',4374,859
